customer_id,loyalty_tier,avg_booking_value,repeat_customer,country
CUST004482,Bronze,87.07,False,Philippines
CUST000134,Bronze,52.17,False,Vietnam
CUST013835,Gold,173.0,False,Thailand
CUST011959,Gold,213.69,False,India
CUST010886,Gold,350.07,True,Thailand
CUST008708,Platinum,605.16,True,India
CUST008264,Platinum,656.7,True,Singapore
CUST010559,Bronze,70.56,False,Vietnam
CUST001894,Platinum,584.92,True,Thailand
CUST011330,Gold,153.58,True,Indonesia
CUST014964,Bronze,89.4,False,Thailand
CUST011974,Bronze,96.73,False,Vietnam
CUST005047,Gold,172.04,True,Philippines
CUST014644,Bronze,71.47,False,Indonesia
CUST010978,Platinum,343.88,True,Vietnam
CUST016176,Bronze,185.4,False,Thailand
CUST014814,Silver,106.15,True,Thailand
CUST014871,Bronze,76.09,False,Indonesia
CUST014433,Bronze,45.36,False,Indonesia
CUST012693,Bronze,86.97,False,Singapore
CUST003700,Bronze,49.33,False,India
CUST010859,Platinum,360.24,True,Philippines
CUST002948,Silver,159.98,False,Singapore
CUST007037,Bronze,64.39,False,Indonesia
CUST010502,Silver,176.49,False,Vietnam
CUST017600,Silver,167.52,False,Thailand
CUST015838,Bronze,69.56,False,Vietnam
CUST013799,Bronze,134.92,False,India
CUST002945,Bronze,57.41,False,Vietnam
CUST006983,Platinum,503.94,True,Vietnam
CUST007247,Bronze,91.74,False,Thailand
CUST008788,Bronze,42.64,True,Indonesia
CUST002987,Silver,161.49,True,Vietnam
CUST008862,Bronze,62.99,False,India
CUST006471,Bronze,77.12,False,Philippines
CUST004194,Gold,319.37,False,Thailand
CUST016650,Bronze,58.4,False,India
CUST004980,Bronze,64.65,False,Philippines
CUST011276,Bronze,78.47,False,India
CUST007831,Silver,135.28,False,Philippines
CUST017056,Platinum,750.18,True,India
CUST004216,Silver,215.13,True,Vietnam
CUST001477,Bronze,97.21,False,India
CUST014020,Bronze,80.66,False,Philippines
CUST005739,Bronze,70.58,False,Thailand
CUST016350,Bronze,112.53,False,Thailand
CUST011928,Bronze,48.42,False,Thailand
CUST014846,Bronze,80.91,False,Philippines
CUST003642,Silver,227.8,False,Vietnam
CUST000067,Silver,215.79,False,India
CUST004089,Gold,215.94,True,Vietnam
CUST012358,Bronze,105.43,False,Indonesia
CUST007643,Bronze,68.95,False,Vietnam
CUST012271,Bronze,55.94,True,Thailand
CUST005602,Silver,134.22,True,Philippines
CUST016758,Bronze,48.48,True,Thailand
CUST007489,Bronze,47.36,False,Philippines
CUST005158,Platinum,728.92,True,Vietnam
CUST001715,Platinum,572.47,True,India
CUST016836,Bronze,103.6,True,Vietnam
CUST013368,Bronze,48.34,True,India
CUST007650,Silver,186.96,False,Vietnam
CUST006930,Silver,139.05,False,India
CUST008475,Gold,393.78,True,Indonesia
CUST004622,Bronze,60.27,False,Thailand
CUST013606,Platinum,505.23,True,Philippines
CUST008733,Gold,448.2,True,Thailand
CUST015620,Silver,114.93,False,Thailand
CUST010328,Silver,120.62,True,India
CUST009698,Bronze,81.33,True,Singapore
CUST001502,Bronze,45.91,False,Thailand
CUST015864,Bronze,69.36,False,India
CUST017557,Bronze,130.32,False,Indonesia
CUST016375,Platinum,514.85,True,Indonesia
