ticket_id,customer_id,booking_id,agent_id,issue_type,channel,country,created_at,wait_time,resolution_time,csat_score,escalated,refund_requested,sla_breached
TKT0000001,CUST004482,BKG0029286,AGT0055,Booking Modification,chat,Vietnam,2023-07-27 15:00:00,7,7,2,False,False,False
TKT0000002,CUST000134,BKG0016887,AGT0054,Hotel Complaint,email,Vietnam,2024-04-10 09:16:00,38,41,4,False,True,True
TKT0000003,CUST013835,BKG0013928,AGT0029,Cancellation Request,chat,Thailand,2023-01-07 19:03:00,9,19,3,False,True,False
TKT0000004,CUST011959,BKG0037649,AGT0115,Hotel Complaint,email,Thailand,2023-08-16 10:02:00,23,23,4,False,False,False
TKT0000005,CUST010886,BKG0041069,AGT0150,Booking Modification,email,Vietnam,2023-10-02 12:33:00,18,37,5,False,False,False
TKT0000006,CUST008708,BKG0034327,AGT0129,Booking Modification,call,India,2023-11-12 13:18:00,5,16,4,True,False,False
TKT0000007,CUST008264,BKG0024415,AGT0088,Refund Inquiry,chat,Thailand,2024-05-23 19:16:00,19,36,3,False,True,False
TKT0000008,CUST010559,BKG0039966,AGT0116,Cancellation Request,chat,Thailand,2024-09-23 11:02:00,9,15,5,False,True,False
TKT0000009,CUST001894,BKG0029843,AGT0124,Booking Modification,call,Vietnam,2023-11-11 08:55:00,12,12,2,True,False,False
TKT0000010,CUST011330,BKG0038332,AGT0134,Cancellation Request,email,Singapore,2023-08-22 14:13:00,42,56,4,False,True,True
TKT0000011,CUST014964,BKG0020912,AGT0131,Hotel Complaint,call,Philippines,2023-08-24 09:59:00,20,20,3,False,False,False
TKT0000012,CUST011974,BKG0028888,AGT0103,Refund Inquiry,chat,Indonesia,2024-10-17 15:40:00,7,7,4,False,True,False
TKT0000013,CUST005047,BKG0007637,AGT0004,Cancellation Request,email,Thailand,2023-11-18 03:51:00,34,62,5,False,False,True
TKT0000014,CUST014644,BKG0048233,AGT0017,Booking Modification,email,Vietnam,2024-12-28 07:17:00,26,42,4,False,False,False
TKT0000015,CUST010978,BKG0010942,AGT0101,Payment Issue,call,Indonesia,2024-02-03 07:18:00,26,26,4,True,True,False
TKT0000016,CUST016176,BKG0044282,AGT0106,Refund Inquiry,chat,Vietnam,2024-08-25 00:57:00,15,19,4,False,True,False
TKT0000017,CUST014814,BKG0040744,AGT0052,Payment Issue,call,Singapore,2023-08-23 21:20:00,21,21,3,True,True,False
TKT0000018,CUST014871,BKG0008693,AGT0142,Cancellation Request,call,Philippines,2023-12-08 16:15:00,14,28,3,False,False,False
TKT0000019,CUST014433,BKG0025097,AGT0116,Cancellation Request,chat,Indonesia,2023-05-14 15:40:00,13,22,3,False,False,False
TKT0000020,CUST012693,BKG0027491,AGT0041,Cancellation Request,chat,Indonesia,2024-05-16 20:15:00,7,28,3,False,False,False
TKT0000021,CUST003700,BKG0017544,AGT0126,Booking Modification,call,India,2024-03-19 20:13:00,15,21,5,False,False,False
TKT0000022,CUST010859,BKG0010130,AGT0041,Booking Modification,email,Philippines,2024-06-18 16:28:00,19,23,4,False,False,False
TKT0000023,CUST002948,BKG0010832,AGT0010,Refund Inquiry,call,Thailand,2024-12-10 00:52:00,15,30,3,False,True,False
